COURSE,DEPARTMENT,COURSEID,CLASSNBR,TOTALENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
CHEM  154,CHEM,126035.0,15064.0,16.0,14.0,1.0,1.0,,
CHEM  160,CHEM,112976.0,14229.0,32.0,4.0,28.0,,,
CHEM  171,CHEM,107702.0,15075.0,33.0,21.0,10.0,1.0,,1.0
CHEM  300,CHEM,118124.0,11949.0,27.0,27.0,,,,
CHEM  301HFA,CHEM,124905.0,16386.0,27.0,27.0,,,,
CHEM  302,CHEM,110717.0,10435.0,12.0,12.0,,,,
CHEM  304,CHEM,116447.0,12480.0,2.0,2.0,,,,
CHEM  311,CHEM,111823.0,11867.0,4.0,4.0,,,,
CHEM  315,CHEM,117520.0,11948.0,5.0,5.0,,,,
CHEM  318,CHEM,113803.0,13681.0,1.0,1.0,,,,
CHEM  320,CHEM,107703.0,10284.0,10.0,10.0,,,,
CHEM  323,CHEM,111689.0,11631.0,10.0,10.0,,,,
CHEM  325,CHEM,123927.0,13128.0,3.0,3.0,,,,
CHEM  330,CHEM,123994.0,13209.0,1.0,1.0,,,,
CHEM  336,CHEM,115459.0,12381.0,16.0,16.0,,,,
CHEM  340,CHEM,123995.0,13212.0,12.0,12.0,,,,
CHEM  342,CHEM,109111.0,11668.0,12.0,12.0,,,,
CHEM  350,CHEM,123316.0,12667.0,2.0,2.0,,,,
CHEM  386,CHEM,122695.0,12766.0,10.0,9.0,1.0,,,
CHEM  387,CHEM,114102.0,11869.0,3.0,3.0,,,,
CHEM  388,CHEM,111158.0,10146.0,5.0,5.0,,,,
CHEM  389,CHEM,110520.0,11281.0,4.0,4.0,,,,
CHEM  390,CHEM,112638.0,11877.0,6.0,6.0,,,,
CHEM  391,CHEM,112639.0,10105.0,1.0,1.0,,,,
CHEM  393,CHEM,116230.0,12220.0,4.0,4.0,,,,
CHEM  396,CHEM,119230.0,12569.0,13.0,13.0,,,,
CHEM  397,CHEM,120076.0,13153.0,2.0,2.0,,,,
CHEMBIO  300HF,CHBI,126695.0,16450.0,15.0,15.0,,,,
CHEMBIO  350,CHBI,124362.0,12841.0,53.0,53.0,,,,
CHEMBIO  399,CHBI,121170.0,13259.0,15.0,15.0,,,,
CHNSE     BA,EALC,113873.0,14732.0,45.0,8.0,27.0,,,10.0
CHNSE     BA,EALC,113873.0,14735.0,17.0,,17.0,,,
CHNSE     BA,EALC,113873.0,14736.0,16.0,,16.0,,,
CHNSE     BA,EALC,113873.0,14737.0,12.0,1.0,11.0,,,
CHNSE     BX,EALC,120305.0,14747.0,20.0,1.0,18.0,,,1.0
CHNSE     BX,EALC,120305.0,14748.0,12.0,,12.0,,,
CHNSE  106A,EALC,110543.0,14335.0,9.0,7.0,2.0,,,
CHNSE  107A,EALC,112899.0,14337.0,5.0,3.0,1.0,,,1.0
CHNSE  120A,EALC,113793.0,13658.0,13.0,3.0,9.0,,,1.0
CHNSE  120A,EALC,113793.0,14700.0,14.0,,14.0,,,
CHNSE  120A,EALC,113793.0,14701.0,18.0,,18.0,,,
CHNSE  130A,EALC,159629.0,14718.0,14.0,2.0,10.0,,,2.0
CHNSE  130A,EALC,159629.0,14719.0,7.0,,7.0,,,
CHNSE  130A,EALC,159629.0,14720.0,24.0,3.0,21.0,,,
CHNSE  130XA,EALC,124235.0,14339.0,10.0,3.0,4.0,,,3.0
CHNSE  130XA,EALC,124235.0,15686.0,9.0,,9.0,,,
CHNSE  140A,EALC,111129.0,14770.0,24.0,1.0,21.0,,,2.0
CHNSE  140A,EALC,111129.0,14771.0,10.0,,10.0,,,
CHNSE  142A,EALC,113492.0,14341.0,11.0,2.0,9.0,,,
CHNSE  150A,EALC,119757.0,14343.0,6.0,1.0,4.0,,,1.0
CHNSE  163,EALC,117085.0,14873.0,2.0,,,,,2.0
CHNSE  163,EALC,117085.0,18558.0,7.0,1.0,5.0,,,1.0
CHNSE  300,EALC,114283.0,12118.0,1.0,1.0,,,,
CHNSE  300,EALC,114283.0,17186.0,5.0,5.0,,,,
CHNSE  300,EALC,114283.0,17187.0,3.0,3.0,,,,
CHNSE  300,EALC,114283.0,17190.0,1.0,1.0,,,,
CHNSE  300,EALC,114283.0,17192.0,3.0,3.0,,,,
CHNSHIS  201,EALC,159902.0,15213.0,6.0,5.0,1.0,,,
CHNSHIS  270A,EALC,131334.0,11841.0,8.0,7.0,,,1.0,
CHNSLIT  207,EALC,159552.0,14936.0,11.0,11.0,,,,
CHNSLIT  248,EALC,124652.0,15092.0,14.0,12.0,1.0,1.0,,
CHNSLIT  280,EALC,109512.0,14941.0,8.0,5.0,2.0,,,1.0
CLASARCH  149,CLAS,160357.0,18104.0,6.0,3.0,3.0,,,
CLASPHIL  224,CLAS,160456.0,15858.0,3.0,3.0,,,,
CLASPHIL  232,CLAS,159803.0,15847.0,4.0,4.0,,,,
CLASPHIL  245,CLAS,124914.0,15004.0,3.0,2.0,1.0,,,
CLASSIC   98,CLAS,126109.0,13589.0,5.0,,5.0,,,
CLASSIC   98,CLAS,126109.0,17005.0,5.0,,5.0,,,
CLASSIC   99A,CLAS,111435.0,15192.0,9.0,,9.0,,,
CLASSIC  300,CLAS,114000.0,13985.0,1.0,1.0,,,,
CLASSIC  300,CLAS,114000.0,16931.0,2.0,2.0,,,,
CLASSIC  300,CLAS,114000.0,16933.0,1.0,1.0,,,,
CLASSIC  300,CLAS,114000.0,16934.0,3.0,3.0,,,,
CLASSIC  300,CLAS,114000.0,16935.0,2.0,2.0,,,,
CLASSIC  300,CLAS,114000.0,16936.0,1.0,1.0,,,,
CLASSIC  300,CLAS,114000.0,16937.0,1.0,1.0,,,,
CLASSIC  300,CLAS,114000.0,16939.0,1.0,1.0,,,,
CLASSIC  301,CLAS,113024.0,10262.0,1.0,1.0,,,,
CLASSIC  301,CLAS,113024.0,17841.0,1.0,1.0,,,,
CLASSIC  301,CLAS,113024.0,17844.0,1.0,1.0,,,,
CLASSIC  301,CLAS,113024.0,17845.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17859.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17862.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17864.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17866.0,3.0,3.0,,,,
CLASSIC  302,CLAS,111873.0,17873.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17874.0,2.0,2.0,,,,
CLASSIC  302,CLAS,111873.0,17879.0,1.0,1.0,,,,
CLASSIC  302,CLAS,111873.0,17891.0,1.0,1.0,,,,
CLASSIC  350,CLAS,113591.0,17013.0,7.0,7.0,,,,
CLASSIC  360,CLAS,108588.0,11031.0,4.0,4.0,,,,
CLS-STDY   97A,CLAS,116729.0,12171.0,26.0,,25.0,,,1.0
CLS-STDY  113,CLAS,160535.0,16137.0,3.0,,3.0,,,
CLS-STDY  141,CLAS,159812.0,15793.0,7.0,,7.0,,,
CLS-STDY  165,CLAS,124969.0,15385.0,36.0,3.0,33.0,,,
COMPLIT   91R,CPLT,109021.0,15719.0,1.0,,1.0,,,
COMPLIT   98A,CPLT,112485.0,11794.0,7.0,,7.0,,,
COMPLIT   99A,CPLT,114294.0,12124.0,9.0,,9.0,,,
COMPLIT  103,CPLT,128115.0,14139.0,14.0,1.0,12.0,,,1.0
COMPLIT  119,CPLT,160668.0,16791.0,8.0,,7.0,,,1.0
COMPLIT  123,CPLT,160882.0,18133.0,1.0,1.0,,,,
COMPLIT  151,CPLT,110068.0,15222.0,10.0,3.0,6.0,,,1.0
COMPLIT  157,CPLT,112654.0,15226.0,4.0,4.0,,,,
COMPLIT  243AA,CPLT,110069.0,16033.0,7.0,7.0,,,,
COMPLIT  243BA,CPLT,160582.0,16793.0,7.0,7.0,,,,
COMPLIT  243CA,CPLT,160670.0,16795.0,5.0,5.0,,,,
COMPLIT  274,CPLT,128209.0,16011.0,18.0,14.0,2.0,,,2.0
COMPLIT  277,CPLT,117360.0,12517.0,26.0,19.0,3.0,2.0,,2.0
COMPLIT  288,CPLT,124022.0,15227.0,6.0,4.0,1.0,1.0,,
COMPLIT  299AR,CPLT,111650.0,11372.0,10.0,10.0,,,,
COMPLIT  396,CPLT,114019.0,18480.0,1.0,1.0,,,,
COMPLIT  397,CPLT,112761.0,18495.0,2.0,2.0,,,,
COMPLIT  397,CPLT,112761.0,18503.0,2.0,2.0,,,,
COMPLIT  397,CPLT,112761.0,18508.0,1.0,1.0,,,,
COMPLIT  399,CPLT,112031.0,18513.0,1.0,1.0,,,,
COMPLIT  399,CPLT,112031.0,18514.0,2.0,2.0,,,,
COMPLIT  399,CPLT,112031.0,18523.0,1.0,1.0,,,,
COMPSCI   50,SEAS,152514.0,14355.0,787.0,11.0,683.0,1.0,10.0,82.0
COMPSCI   61,SEAS,123623.0,12915.0,126.0,,126.0,,,
COMPSCI   91R,SEAS,113257.0,10996.0,24.0,,24.0,,,
COMPSCI  105,SEAS,125407.0,12906.0,35.0,,35.0,,,
COMPSCI  108,SEAS,160419.0,15764.0,21.0,,21.0,,,
COMPSCI  109,SEAS,109899.0,10670.0,148.0,4.0,118.0,1.0,,25.0
COMPSCI  121,SEAS,119064.0,14235.0,176.0,2.0,173.0,1.0,,
COMPSCI  125,SEAS,156210.0,11248.0,24.0,,23.0,,,1.0
COMPSCI  134,SEAS,160409.0,15808.0,68.0,2.0,63.0,,1.0,2.0
COMPSCI  141,SEAS,113856.0,14237.0,19.0,,18.0,,1.0,
COMPSCI  144R,SEAS,112630.0,15716.0,14.0,,14.0,,,
COMPSCI  153,SEAS,131493.0,14241.0,22.0,2.0,18.0,2.0,,
COMPSCI  165,SEAS,119249.0,15767.0,33.0,3.0,29.0,,,1.0
COMPSCI  175,SEAS,113410.0,14243.0,13.0,4.0,9.0,,,
COMPSCI  182,SEAS,110661.0,16563.0,85.0,5.0,77.0,1.0,2.0,
COMPSCI  205,SEAS,128104.0,16730.0,84.0,62.0,22.0,,,
COMPSCI  229R,SEAS,120237.0,15744.0,14.0,6.0,6.0,,,2.0
COMPSCI  244R,SEAS,112631.0,16334.0,4.0,1.0,3.0,,,
COMPSCI  252R,SEAS,114807.0,12481.0,14.0,1.0,12.0,1.0,,
COMPSCI  263,SEAS,160579.0,17897.0,47.0,11.0,35.0,,,1.0
COMPSCI  281,SEAS,107677.0,10271.0,109.0,56.0,41.0,1.0,1.0,10.0
COMPSCI  283,SEAS,113944.0,13922.0,31.0,10.0,20.0,,,1.0
COMPSCI  299R,SEAS,114035.0,14063.0,12.0,11.0,1.0,,,
COMPSCI  304,SEAS,108374.0,10926.0,5.0,5.0,,,,
COMPSCI  306,SEAS,109278.0,11762.0,1.0,1.0,,,,
COMPSCI  308,SEAS,119252.0,12583.0,2.0,2.0,,,,
COMPSCI  310,SEAS,116301.0,12299.0,3.0,3.0,,,,
COMPSCI  314,SEAS,124155.0,13436.0,3.0,3.0,,,,
COMPSCI  316,SEAS,125388.0,12823.0,2.0,2.0,,,,
COMPSCI  320,SEAS,156744.0,11618.0,4.0,4.0,,,,
COMPSCI  322,SEAS,113643.0,12238.0,3.0,3.0,,,,
COMPSCI  324,SEAS,111666.0,11516.0,2.0,2.0,,,,
COMPSCI  326,SEAS,126331.0,13774.0,2.0,2.0,,,,
COMPSCI  344,SEAS,116858.0,12261.0,6.0,6.0,,,,
COMPSCI  348,SEAS,120091.0,13170.0,1.0,1.0,,,,
COMPSCI  356,SEAS,113027.0,10279.0,1.0,1.0,,,,
COMPSCI  358,SEAS,115136.0,12021.0,2.0,2.0,,,,
COMPSCI  360,SEAS,109883.0,10662.0,1.0,1.0,,,,
COMPSCI  364,SEAS,126329.0,13770.0,4.0,4.0,,,,
COMPSCI  376,SEAS,121071.0,13180.0,1.0,1.0,,,,
COMPSCI  378,SEAS,110261.0,10874.0,3.0,3.0,,,,
COMPSCI  380,SEAS,110263.0,10876.0,2.0,2.0,,,,
COMPSCI  386,SEAS,160970.0,18401.0,3.0,3.0,,,,
CPB   91,CHPB,122591.0,14866.0,1.0,,1.0,,,
CPB   99A,CHPB,122592.0,14867.0,4.0,,4.0,,,
CULTBLF   16,GENED,125216.0,13597.0,45.0,,44.0,,1.0,
CULTBLF   22,GENED,113501.0,11966.0,42.0,,42.0,,,
CULTBLF   28,GENED,126144.0,14357.0,35.0,,35.0,,,
CULTBLF   30,GENED,117020.0,12325.0,211.0,,211.0,,,
CULTBLF   33,GENED,126199.0,15404.0,144.0,,144.0,,,
CULTBLF   39,GENED,125055.0,13458.0,298.0,,298.0,,,
CULTBLF   50,GENED,127826.0,16735.0,96.0,,96.0,,,
CULTBLF   57,GENED,109543.0,14818.0,42.0,,42.0,,,
CULTBLF   58,GENED,109790.0,14768.0,58.0,1.0,56.0,1.0,,
CULTBLF   62,GENED,112218.0,14617.0,34.0,,33.0,1.0,,
CZCH     AA,SLAV,111301.0,14373.0,2.0,2.0,,,,
CZCH     BA,SLAV,121469.0,14826.0,5.0,,5.0,,,
CZCH     CR,SLAV,123797.0,13021.0,2.0,2.0,,,,
DESIGN  300,URBP,117756.0,17910.0,1.0,1.0,,,,
DESIGN  310,URBP,115401.0,12315.0,1.0,1.0,,,,
DRB  310,MDSC,126385.0,13807.0,2.0,2.0,,,,
DRB  311,MDSC,126386.0,13808.0,1.0,1.0,,,,
DRB  312,MDSC,126387.0,13809.0,2.0,2.0,,,,
DRB  313,MDSC,126388.0,13810.0,2.0,2.0,,,,
DRB  314,MDSC,126389.0,13811.0,5.0,5.0,,,,
DRB  316,MDSC,126391.0,13813.0,2.0,2.0,,,,
DRB  318,MDSC,109351.0,10188.0,2.0,2.0,,,,
DRB  319,MDSC,126786.0,14085.0,1.0,1.0,,,,
DRB  320,MDSC,127403.0,13841.0,1.0,1.0,,,,
DRB  321,MDSC,127739.0,13987.0,4.0,4.0,,,,
DRB  322,MDSC,107628.0,10243.0,1.0,1.0,,,,
DRB  325,MDSC,109121.0,11672.0,2.0,2.0,,,,
DRB  326,MDSC,109147.0,11707.0,4.0,4.0,,,,
DRB  327,MDSC,160767.0,18025.0,3.0,3.0,,,,
EABS  240R,EALC,119753.0,12876.0,5.0,5.0,,,,
EABS  255,EALC,125640.0,13375.0,4.0,4.0,,,,
EABS  300,EALC,117751.0,12120.0,2.0,2.0,,,,
EABS  300,EALC,117751.0,17303.0,1.0,,,,,1.0
EAFM  112,EALC,159550.0,14800.0,10.0,2.0,8.0,,,
EAFM  140,EALC,125611.0,13364.0,24.0,,24.0,,,
EAFM  201,EALC,108471.0,10976.0,11.0,7.0,3.0,,,1.0
EASTD   90R,EALC,152860.0,17012.0,8.0,,7.0,,,1.0
EASTD   98B,EALC,145023.0,13405.0,6.0,,6.0,,,
EASTD   98D,EALC,145319.0,14945.0,9.0,1.0,8.0,,,
EASTD   99A,EALC,135225.0,15198.0,3.0,,3.0,,,
EASTD  140,EALC,143833.0,12874.0,10.0,,10.0,,,
EASTD  205,EALC,156721.0,11594.0,4.0,3.0,,,,1.0
ECON   10A,ECON,113326.0,11513.0,709.0,,703.0,,4.0,2.0
ECON  910R,ECON,107827.0,10372.0,6.0,,6.0,,,
ECON  970,ECON,122752.0,12860.0,10.0,,10.0,,,
ECON  970,ECON,122752.0,18907.0,10.0,,10.0,,,
ECON  970,ECON,122752.0,18908.0,6.0,,6.0,,,
ECON  970,ECON,122752.0,18909.0,6.0,,6.0,,,
ECON  970,ECON,122752.0,18910.0,7.0,,7.0,,,
ECON  970,ECON,122752.0,18911.0,7.0,,7.0,,,
ECON  980O,ECON,160356.0,15562.0,14.0,,13.0,,1.0,
ECON  980P,ECON,110067.0,10757.0,10.0,,10.0,,,
ECON  980X,ECON,108892.0,11378.0,9.0,,9.0,,,
ECON  980Y,ECON,160328.0,15545.0,16.0,,16.0,,,
ECON  980Z,ECON,160329.0,15546.0,4.0,,4.0,,,
ECON  985LA,ECON,109235.0,15216.0,11.0,,11.0,,,
ECON  985PA,ECON,109239.0,15233.0,10.0,,10.0,,,
ECON  985QA,ECON,156648.0,15234.0,9.0,,9.0,,,
ECON  985RA,ECON,160584.0,16554.0,9.0,,9.0,,,
ECON  985SA,ECON,160585.0,16558.0,10.0,,10.0,,,
ECON  985TA,ECON,160589.0,16561.0,10.0,,10.0,,,
ECON  985UA,ECON,160587.0,16559.0,11.0,,11.0,,,
ECON 1010A,ECON,108901.0,15721.0,329.0,,322.0,,6.0,1.0
ECON 1011A,ECON,120711.0,15722.0,73.0,2.0,68.0,1.0,1.0,1.0
ECON 1017,ECON,119951.0,15519.0,252.0,,251.0,,1.0,
ECON 1018,ECON,122655.0,14385.0,72.0,,68.0,,4.0,
ECON 1034,ECON,160360.0,15564.0,10.0,,10.0,,,
ECON 1053,ECON,160763.0,18015.0,27.0,,26.0,,1.0,
ECON 1123,ECON,123033.0,14389.0,155.0,1.0,145.0,1.0,4.0,4.0
ECON 1126,ECON,113637.0,15520.0,14.0,,13.0,,,1.0
ECON 1400,ECON,107821.0,10365.0,171.0,1.0,152.0,,10.0,8.0
ECON 1415,ECON,107613.0,10235.0,7.0,5.0,1.0,,,1.0
ECON 1430,ECON,116437.0,12463.0,3.0,,,1.0,1.0,1.0
ECON 1432,ECON,127519.0,14393.0,27.0,2.0,21.0,,4.0,
ECON 1490,ECON,125835.0,13534.0,31.0,,23.0,,7.0,1.0
ECON 1535,ECON,111749.0,15523.0,31.0,,29.0,,2.0,
ECON 1545,ECON,111477.0,14399.0,20.0,,15.0,,1.0,4.0
ECON 1723,ECON,111105.0,14401.0,66.0,,58.0,,8.0,
ECON 1776,ECON,125944.0,14403.0,76.0,,76.0,,,
ECON 2001A,ECON,120245.0,15183.0,11.0,10.0,,1.0,,
ECON 2005HFA,ECON,107608.0,16556.0,4.0,4.0,,,,
ECON 2010A,ECON,124134.0,14409.0,33.0,29.0,3.0,1.0,,
ECON 2010C,ECON,111213.0,10280.0,33.0,29.0,4.0,,,
ECON 2020A,ECON,112942.0,11763.0,39.0,30.0,,1.0,,8.0
ECON 2035,ECON,156371.0,14411.0,13.0,12.0,,,,1.0
ECON 2060A,ECON,110708.0,17173.0,9.0,4.0,,,,5.0
ECON 2082,ECON,108965.0,11492.0,9.0,4.0,1.0,,1.0,3.0
ECON 2087HFRA,ECON,126663.0,16557.0,8.0,8.0,,,,
ECON 2098,ECON,156616.0,11523.0,36.0,28.0,3.0,,,5.0
ECON 2099,ECON,110312.0,10938.0,45.0,12.0,25.0,,1.0,7.0
ECON 2110,ECON,120668.0,12911.0,41.0,34.0,,1.0,,6.0
ECON 2140,ECON,120662.0,15526.0,14.0,11.0,,,,3.0
ECON 2142,ECON,113904.0,13885.0,12.0,6.0,,,,6.0
ECON 2162A,ECON,111451.0,15200.0,4.0,4.0,,,,
ECON 2325,ECON,126819.0,13520.0,14.0,11.0,,1.0,,2.0
ECON 2326,ECON,156605.0,11515.0,3.0,,,,2.0,1.0
ECON 2332HFCA,ECON,110160.0,16568.0,2.0,2.0,,,,
ECON 2339RA,ECON,123105.0,15236.0,5.0,5.0,,,,
ECON 2390,ECON,156645.0,11547.0,18.0,12.0,,,,6.0
ECON 2390DHFA,ECON,111112.0,16573.0,2.0,2.0,,,,
ECON 2395,ECON,156372.0,11360.0,16.0,5.0,5.0,,1.0,5.0
ECON 2410,ECON,113835.0,13765.0,8.0,6.0,,,,2.0
ECON 2412A,ECON,126666.0,14043.0,19.0,12.0,1.0,,1.0,5.0
ECON 2420HFA,ECON,117451.0,16576.0,3.0,3.0,,,,
ECON 2450A,ECON,110660.0,10327.0,20.0,17.0,1.0,,,2.0
ECON 2480A,ECON,119562.0,15201.0,9.0,9.0,,,,
ECON 2530A,ECON,113995.0,13980.0,5.0,4.0,,,1.0,
ECON 2540HFA,ECON,113575.0,16578.0,5.0,5.0,,,,
ECON 2610,ECON,113404.0,11876.0,9.0,8.0,,,,1.0
ECON 2640HFA,ECON,117566.0,16581.0,12.0,12.0,,,,
ECON 2723,ECON,111998.0,10462.0,17.0,13.0,,1.0,,3.0
ECON 2770HFA,ECON,115030.0,16587.0,18.0,18.0,,,,
ECON 2810A,ECON,114301.0,12131.0,47.0,28.0,,1.0,,18.0
ECON 2812HFA,ECON,111404.0,16591.0,10.0,10.0,,,,
ECON 2888R,ECON,122105.0,13264.0,2.0,1.0,,1.0,,
ECON 3000,ECON,113716.0,12402.0,2.0,2.0,,,,
ECON 3005,ECON,113088.0,10396.0,8.0,8.0,,,,
ECON 3390HFA,ECON,111733.0,16649.0,1.0,1.0,,,,
ECON 3450HFA,ECON,132616.0,16688.0,1.0,1.0,,,,
ECON 3460C,ECON,115494.0,17908.0,7.0,5.0,,,,2.0
ECON 3723HFRA,ECON,113663.0,16726.0,1.0,1.0,,,,
ECON 3810CHFRA,ECON,113625.0,16727.0,3.0,3.0,,,,
EGYPTIAN  200,NELC,160234.0,15477.0,4.0,3.0,1.0,,,
EMR  123,EMR,160748.0,17893.0,2.0,1.0,1.0,,,
EMR  124,EMR,160751.0,17896.0,2.0,,2.0,,,
EMREAS   17,GENED,112199.0,11061.0,79.0,3.0,75.0,,1.0,
EMREAS   20,GENED,125932.0,13614.0,101.0,,101.0,,,
ENGLISH     CAFR,ENGL,160953.0,18218.0,9.0,,8.0,,,1.0
ENGLISH     CAMR,ENGL,145402.0,13530.0,8.0,,8.0,,,
ENGLISH     CBBR,ENGL,146632.0,17776.0,13.0,,13.0,,,
ENGLISH     CFMR,ENGL,160952.0,18217.0,10.0,,10.0,,,
ENGLISH     CHCR,ENGL,130000.0,18007.0,9.0,2.0,7.0,,,
ENGLISH     CIJR,ENGL,156630.0,11533.0,12.0,,11.0,1.0,,
ENGLISH     CKR,ENGL,116875.0,12278.0,8.0,,8.0,,,
ENGLISH     CLR,ENGL,116874.0,12275.0,11.0,,10.0,,,1.0
ENGLISH     CNFR,ENGL,145426.0,12800.0,11.0,,9.0,,,2.0
ENGLISH     CNNR,ENGL,148302.0,12798.0,10.0,2.0,4.0,,,4.0
ENGLISH     CRR,ENGL,115777.0,11965.0,11.0,,11.0,,,
ENGLISH     CSSR,ENGL,160960.0,18278.0,8.0,,8.0,,,
ENGLISH     CTR,ENGL,130119.0,10489.0,9.0,,8.0,,1.0,
ENGLISH     CWAR,ENGL,148318.0,13691.0,6.0,,5.0,,,1.0
ENGLISH     CWFR,ENGL,145856.0,13690.0,9.0,,8.0,,,1.0
ENGLISH   44,ENGL,156062.0,15244.0,18.0,,17.0,,,1.0
ENGLISH   50,ENGL,146674.0,14596.0,47.0,,47.0,,,
ENGLISH   54,ENGL,146552.0,14676.0,43.0,1.0,42.0,,,
ENGLISH   60,ENGL,146555.0,14105.0,21.0,,18.0,,1.0,2.0
ENGLISH   90AU,ENGL,159615.0,14586.0,6.0,,6.0,,,
ENGLISH   90CL,ENGL,123564.0,14591.0,4.0,,4.0,,,
ENGLISH   90HV,ENGL,156343.0,14677.0,5.0,,5.0,,,
ENGLISH   90SR,ENGL,160004.0,15370.0,16.0,,16.0,,,
ENGLISH   90WW,ENGL,160948.0,18155.0,13.0,,13.0,,,
ENGLISH   91R,ENGL,110763.0,10622.0,1.0,,1.0,,,
ENGLISH   98R,ENGL,113443.0,11855.0,22.0,,22.0,,,
ENGLISH   99R,ENGL,114256.0,12081.0,35.0,,35.0,,,
ENGLISH  102H,ENGL,156063.0,11156.0,16.0,,14.0,,,2.0
ENGLISH  131,ENGL,146534.0,15243.0,18.0,1.0,17.0,,,
ENGLISH  144M,ENGL,159662.0,14680.0,3.0,,3.0,,,
ENGLISH  145A,ENGL,146676.0,11042.0,38.0,1.0,36.0,1.0,,
ENGLISH  160W,ENGL,146540.0,14683.0,110.0,2.0,105.0,1.0,,2.0
ENGLISH  179B,ENGL,159665.0,15371.0,25.0,2.0,23.0,,,
ENGLISH  180C,ENGL,159664.0,14682.0,8.0,2.0,6.0,,,
ENGLISH  182,ENGL,130245.0,10978.0,70.0,2.0,68.0,,,
ENGLISH  190C,ENGL,160947.0,18154.0,5.0,,5.0,,,
ENGLISH  210,ENGL,146583.0,15374.0,6.0,5.0,,1.0,,
ENGLISH  259,ENGL,156173.0,11222.0,7.0,7.0,,,,
ENGLISH  267Y,ENGL,160006.0,15377.0,10.0,7.0,1.0,,,2.0
ENGLISH  270U,ENGL,160005.0,15376.0,4.0,3.0,,,,1.0
ENGLISH  285E,ENGL,130270.0,15375.0,3.0,3.0,,,,
ENGLISH  291C,ENGL,160007.0,15378.0,11.0,11.0,,,,
ENGLISH  298C,ENGL,130908.0,15379.0,12.0,12.0,,,,
ENGLISH  300HFA,ENGL,111425.0,16741.0,1.0,1.0,,,,
ENGLISH  300HFA,ENGL,111425.0,17710.0,1.0,1.0,,,,
ENGLISH  304HFA,ENGL,117785.0,16743.0,2.0,2.0,,,,
ENGLISH  304HFA,ENGL,117785.0,17717.0,2.0,2.0,,,,
ENGLISH  304HFA,ENGL,117785.0,17718.0,1.0,1.0,,,,
ENGLISH  306HFA,ENGL,148064.0,17720.0,4.0,4.0,,,,
ENGLISH  308HFA,ENGL,119988.0,17723.0,1.0,1.0,,,,
ENGLISH  310HFRA,ENGL,117944.0,17724.0,1.0,1.0,,,,
ENGLISH  350,ENGL,123135.0,13494.0,7.0,7.0,,,,
ENGLISH  360,ENGL,160742.0,17692.0,3.0,3.0,,,,
ENGLISH  397,ENGL,118927.0,17916.0,1.0,1.0,,,,
ENGLISH  397,ENGL,118927.0,17918.0,2.0,2.0,,,,
ENGLISH  397,ENGL,118927.0,17926.0,1.0,1.0,,,,
ENGLISH  397,ENGL,118927.0,17927.0,6.0,6.0,,,,
ENGLISH  397,ENGL,118927.0,17933.0,1.0,1.0,,,,
ENGLISH  397,ENGL,118927.0,17935.0,1.0,1.0,,,,
ENGLISH  397,ENGL,118927.0,17937.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17796.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17797.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17798.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17799.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17800.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17801.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17805.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17807.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17808.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17810.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17812.0,3.0,3.0,,,,
ENGLISH  398,ENGL,117540.0,17813.0,4.0,4.0,,,,
ENGLISH  398,ENGL,117540.0,17815.0,3.0,3.0,,,,
ENGLISH  398,ENGL,117540.0,17817.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17819.0,1.0,1.0,,,,
ENGLISH  398,ENGL,117540.0,17820.0,3.0,3.0,,,,
ENGLISH  398,ENGL,117540.0,17822.0,2.0,2.0,,,,
ENGLISH  398,ENGL,117540.0,17823.0,2.0,2.0,,,,
ENG-SCI   21,SEAS,128317.0,14185.0,17.0,,14.0,,1.0,2.0
ENG-SCI   29,SEAS,110138.0,10806.0,2.0,,2.0,,,
ENG-SCI   50,SEAS,140008.0,13946.0,86.0,,86.0,,,
ENG-SCI   51,SEAS,148434.0,10362.0,37.0,,37.0,,,
ENG-SCI   52,SEAS,109809.0,10591.0,18.0,,18.0,,,
ENG-SCI   53,SEAS,122339.0,13413.0,53.0,,53.0,,,
ENG-SCI   91R,SEAS,109477.0,10398.0,15.0,,15.0,,,
ENG-SCI   95R,SEAS,109272.0,11752.0,28.0,,28.0,,,
ENG-SCI   96,SEAS,144983.0,13002.0,19.0,,17.0,1.0,,1.0
